nat	lev	percV	sd_V	sd_C	VarcoV	VarcoC	nPVI-V	rPVI-C
usa	ne	0.84	2.2	0.19	266.56	130.23	64.93	0.12
usa	ne	0.3	0.07	0.06	109.09	76.97	37.5	0.06
usa	ne	0.27	0.33	0.77	105.9	108.48	145.44	0.56
usa	ne	0.89	2.55	0.07	210.35	45.83	91.79	0.08
usa	ne	0.26	0.09	0.1	87.46	67.83	74.6	0.06
usa	ne	0.55	0.59	0.13	273.75	101.02	61.51	0.1
usa	ne	0.31	0.08	0.15	100.3	118.92	62.6	0.11
usa	ne	0.38	0.09	0.04	101.83	45.64	60.21	0.06
usa	ne	0.28	0.03	0.14	41.18	125.22	41.81	0.11
usa	ne	0.33	0.03	0.05	64.88	63.5	36.15	0.04
usa	ne	0.84	1.6	0.04	296.94	43.43	79.99	0.04
usa	ne	0.31	0.03	0.07	56.59	59	58.6	0.06
usa	ne	0.31	0.06	0.07	75.51	57.72	70.47	0.07
usa	ne	0.25	0.05	0.11	79.11	88.45	58.75	0.08
usa	ne	0.78	1.3	0.08	285.63	67.41	47.79	0.07
usa	ne	0.21	0.03	0.11	44.88	72.83	54.28	0.11
usa	ne	0.38	0.06	0.06	79.87	61.54	60.13	0.04
usa	ne	0.91	2.42	0.03	228.02	34.64	106.26	0.05
usa	ne	0.9	2.51	0.05	232.84	44.56	73.45	0.03
usa	ne	0.29	0.07	0.12	83.65	76.82	88.54	0.1
usa	ne	0.83	1.37	0.06	226.68	56.34	56.86	0.05
usa	ne	0.4	0.06	0.03	60.97	25.07	53.49	0.04
usa	ne	0.43	0.07	0.03	89.26	44.34	63.9	0.03
usa	ne	0.36	0.05	0.09	56.14	63.53	59.81	0.08
usa	ne	0.34	0.06	0.05	94.97	48.48	55.23	0.06
usa	ne	0.29	0.05	0.06	67.38	49.36	59.95	0.05
usa	ne	0.27	0.03	0.07	56.57	66.42	59.46	0.07
usa	ne	0.19	0.03	0.18	54.52	136.62	38.57	0.11
usa	ne	0.43	0.11	0.06	93.96	54.39	61.6	0.05
usa	ne	0.23	0.05	0.21	90.67	169.92	51.55	0.15
usa	ne	0.26	0.07	0.27	92.68	195.44	48	0.16
usa	ne	0.28	0.08	0.21	130.87	167.84	48.21	0.11
usa	ne	0.29	0.06	0.17	77.35	145.85	71.83	0.13
usa	ne	0.2	0.03	0.29	55.2	209.6	49.56	0.15
usa	ne	0.58	0.58	0.14	283.63	105.6	67.92	0.14
usa	ne	0.35	0.13	0.27	104.51	160.23	107.25	0.21
usa	ne	0.51	0.4	0.13	238.66	88.98	58.46	0.12
usa	ne	0.3	0.05	0.2	67.81	146.69	59.89	0.14
usa	ne	0.3	0.06	0.09	90.66	85.07	47.06	0.08
usa	ne	0.28	0.07	0.2	111.3	149.03	52.53	0.15
usa	ne	0.46	0.18	0.14	138.81	118.28	101.12	0.11
usa	ne	0.39	0.15	0.09	139.5	77.88	75.21	0.08
usa	ne	0.29	0.13	0.24	107.96	142.84	82.12	0.18
usa	ne	0.26	0.03	0.07	50.19	63.02	53.16	0.09
usa	ne	0.76	1.01	0.05	253.91	52.85	109.42	0.05
usa	ne	0.24	0.06	0.22	79.8	124.08	54.42	0.21
usa	ne	0.37	0.04	0.06	63.35	66.09	77.34	0.06
usa	ne	0.24	0.05	0.15	72.47	94.36	87.62	0.12
usa	ne	0.66	0.93	0.12	292.59	95.42	93.7	0.08
usa	ne	0.36	0.02	0.08	13.16	63.28	13.33	0.05
usa	ne	0.34	0.05	0.08	47.43	69.7	73.8	0.05
usa	ne	0.28	0.04	0.08	52.94	77.95	88.52	0.04
usa	ne	0.36	0.05	0.09	52.46	81.97	90.36	0.05
usa	ne	0.36	0.06	0.09	63.99	87.98	102.34	0.07
usa	ne	0.83	1.56	0.05	256.69	48.77	73.57	0.06
usa	ne	0.76	1.18	0.05	266.14	49.54	64.95	0.07
usa	ne	0.75	1.2	0.05	268.13	49.38	71.84	0.07
usa	ne	0.68	0.81	0.05	264.78	45.75	77.32	0.06
usa	ne	0.43	0.05	0.06	28.39	41.75	59.43	0.09
usa	ne	0.4	0.07	0.07	58.12	58.39	100.55	0.07
usa	ne	0.42	0.1	0.08	82.33	72.06	124.55	0.06
usa	ne	0.39	0.06	0.06	79.49	70.86	112.08	0.06
usa	ne	0.34	0.07	0.08	104.83	89.92	61.15	0.05
usa	ne	0.27	0.02	0.06	44.03	47.7	51.05	0.08
usa	ne	0.25	0.02	0.05	43.75	42.91	48.15	0.03
usa	ne	0.25	0.03	0.07	50.33	56.23	57.46	0.07
usa	ne	0.89	2.76	0.04	293.78	39.65	76.42	0.04
usa	ne	0.87	2.93	0.12	302.19	88.93	45.62	0.06
usa	ne	0.27	0.05	0.12	86.31	84.68	57.5	0.09
usa	ne	0.3	0.02	0.03	46.6	36.32	25.46	0.03
usa	ne	0.28	0.03	0.04	59.9	45.72	43.4	0.05
usa	ne	0.27	0.03	0.06	62.56	69.93	37.37	0.06
usa	ne	0.24	0.1	0.27	113.78	145.74	68.99	0.18
usa	ne	0.2	0.01	0.11	31.05	120.12	16.7	0.09
usa	ne	0.19	0.05	0.31	75.04	153.5	67.97	0.24
usa	ne	0.17	0.05	0.25	89.77	134.53	52.88	0.22
usa	ne	0.19	0.04	0.16	81.8	112.37	52.79	0.12
usa	ne	0.24	0.05	0.17	89.77	131.38	53.17	0.1
usa	ne	0.32	0.04	0.07	54.99	62.65	54.57	0.04
usa	ne	0.28	0.04	0.07	70.55	60.24	69.9	0.08
usa	ne	0.33	0.05	0.05	74.51	52.95	53.6	0.07
usa	ne	0.25	0.07	0.15	60.3	64.15	63.21	0.13
